POC:	Eric Stoneking (NASA-GSFC), 301-286-8600		
1.46	102.27	113.73	11.46
1.47	102.61	114.08	11.47
1.48	102.96	114.44	11.48
1.49	103.30	114.79	11.49
1.50	103.64	115.14	11.50
1.51	103.97	115.48	11.51
1.52	104.31	115.83	11.52
1.53	104.65	116.18	11.53
1.54	104.98	116.52	11.54
1.55	105.32	116.87	11.55
1.56	105.65	117.21	11.56
1.57	105.98	117.55	11.57
1.58	106.31	117.89	11.58
1.59	106.64	118.23	11.59
1.60	106.97	118.57	11.60
1.61	107.30	118.91	11.61
1.62	107.62	119.24	11.62
1.63	107.95	119.58	11.63
1.64	108.27	119.91	11.64
1.65	108.60	120.25	11.65
1.66	108.92	120.58	11.66
1.67	109.24	120.91	11.67
1.68	109.56	121.24	11.68
1.69	109.88	121.57	11.69
1.70	110.20	121.90	11.70
1.71	110.52	122.23	11.71
1.72	110.83	122.55	11.72
1.73	111.15	122.88	11.73
1.74	111.46	123.20	11.74
1.75	111.78	123.53	11.75
1.76	112.09	123.85	11.76
1.77	112.40	124.17	11.77
1.78	112.72	124.50	11.78
1.79	113.03	124.82	11.79
1.80	113.34	125.14	11.80
1.81	113.64	125.45	11.81
1.82	113.95	125.77	11.82
1.83	114.26	126.09	11.83
1.84	114.57	126.41	11.84
1.85	114.87	126.72	11.85
1.86	115.18	127.04	11.86
1.87	115.48	127.35	11.87
1.88	115.78	127.66	11.88
1.89	116.09	127.98	11.89
1.90	116.39	128.29	11.90
1.91	116.69	128.60	11.91
1.92	116.99	128.91	11.92
1.93	117.29	129.22	11.93
1.94	117.58	129.52	11.94
1.95	117.88	129.83	11.95
1.96	118.18	130.14	11.96
1.97	118.47	130.44	11.97
1.98	118.77	130.75	11.98
1.99	119.06	131.05	11.99
2.00	119.36	131.36	12.00
2.01	119.65	131.66	12.01
2.02	119.94	131.96	12.02
2.03	120.24	132.27	12.03
2.04	120.53	132.57	12.04
2.05	120.82	132.87	12.05
2.06	121.11	133.17	12.06
2.07	121.39	133.46	12.07
2.08	121.68	133.76	12.08
2.09	121.97	134.06	12.09
2.10	122.26	134.36	12.10
2.11	122.54	134.65	12.11
2.12	122.83	134.95	12.12
2.13	123.11	135.24	12.13
2.14	123.40	135.54	12.14
2.15	123.68	135.83	12.15
2.16	123.96	136.12	12.16
2.17	124.24	136.41	12.17
2.18	124.53	136.71	12.18
2.19	124.81	137.00	12.19
2.20	125.09	137.29	12.20
2.21	125.37	137.58	12.21
2.22	125.64	137.86	12.22
2.23	125.92	138.15	12.23
2.24	126.20	138.44	12.24
2.25	126.48	138.73	12.25
2.26	126.75	139.01	12.26
2.27	127.03	139.30	12.27
2.28	127.30	139.58	12.28
2.29	127.58	139.87	12.29
2.30	127.85	140.15	12.30
2.31	128.13	140.44	12.31
2.32	128.40	140.72	12.32
2.33	128.67	141.00	12.33
2.34	128.94	141.28	12.34
2.35	129.21	141.56	12.35
2.36	129.48	141.84	12.36
2.37	129.75	142.12	12.37
2.38	130.02	142.40	12.38
2.39	130.29	142.68	12.39
2.40	130.56	142.96	12.40
2.41	130.83	143.24	12.41
2.42	131.09	143.51	12.42
2.43	131.36	143.79	12.43
2.44	131.63	144.07	12.44
2.45	131.89	144.34	12.45
2.46	132.16	144.62	12.46
2.47	132.42	144.89	12.47
2.48	132.68	145.16	12.48
2.49	132.95	145.44	12.49
2.50	133.21	145.71	12.50
2.51	133.47	145.98	12.51
2.52	133.73	146.25	12.52
2.53	134.00	146.53	12.53
2.54	134.26	146.80	12.54
2.55	134.52	147.07	12.55
2.56	134.78	147.34	12.56
2.57	135.03	147.60	12.57
2.58	135.29	147.87	12.58
2.59	135.55	148.14	12.59
2.60	135.81	148.41	12.60
2.61	136.07	148.68	12.61
2.62	136.32	148.94	12.62
2.63	136.58	149.21	12.63
2.64	136.83	149.47	12.64
2.65	137.09	149.74	12.65
2.66	137.34	150.00	12.66
2.67	137.60	150.27	12.67
2.68	137.85	150.53	12.68
2.69	138.11	150.80	12.69
2.70	138.36	151.06	12.70
2.71	138.61	151.32	12.71
2.72	138.86	151.58	12.72
2.73	139.11	151.84	12.73
2.74	139.36	152.10	12.74
2.75	139.61	152.36	12.75
2.76	139.86	152.62	12.76
2.77	140.11	152.88	12.77
2.78	140.36	153.14	12.78
2.79	140.61	153.40	12.79
2.80	140.86	153.66	12.80
2.81	141.11	153.92	12.81
2.82	141.36	154.18	12.82
2.83	141.60	154.43	12.83
2.84	141.85	154.69	12.84
2.85	142.09	154.94	12.85
2.86	142.34	155.20	12.86
2.87	142.59	155.46	12.87
2.88	142.83	155.71	12.88
2.89	143.07	155.96	12.89
2.90	143.32	156.22	12.90
2.91	143.56	156.47	12.91
2.92	143.80	156.72	12.92
2.93	144.05	156.98	12.93
2.94	144.29	157.23	12.94
2.95	144.53	157.48	12.95
2.96	144.77	157.73	12.96
2.97	145.01	157.98	12.97
2.98	145.25	158.23	12.98
2.99	145.49	158.48	12.99
3.00	145.73	158.73	13.00
3.01	145.97	158.98	13.01
3.02	146.21	159.23	13.02
3.03	146.45	159.48	13.03
3.04	146.69	159.73	13.04
3.05	146.93	159.98	13.05
3.06	147.16	160.22	13.06
3.07	147.40	160.47	13.07
3.08	147.64	160.72	13.08
3.09	147.87	160.96	13.09
3.10	148.11	161.21	13.10
3.11	148.35	161.46	13.11
3.12	148.58	161.70	13.12
3.13	148.82	161.95	13.13
3.14	149.05	162.19	13.14
3.15	149.28	162.43	13.15
3.16	149.52	162.68	13.16
3.17	149.75	162.92	13.17
3.18	149.98	163.16	13.18
3.19	150.22	163.41	13.19
3.20	150.45	163.65	13.20
3.21	150.68	163.89	13.21
3.22	150.91	164.13	13.22
3.23	151.14	164.37	13.23
3.24	151.37	164.61	13.24
3.25	151.60	164.85	13.25
3.26	151.83	165.09	13.26
3.27	152.06	165.33	13.27
3.28	152.29	165.57	13.28
3.29	152.52	165.81	13.29
3.30	152.75	166.05	13.30
3.31	152.98	166.29	13.31
3.32	153.21	166.53	13.32
3.33	153.43	166.76	13.33
3.34	153.66	167.00	13.34
3.35	153.89	167.24	13.35
3.36	154.11	167.47	13.36
3.37	154.34	167.71	13.37
3.38	154.57	167.95	13.38
3.39	154.79	168.18	13.39
3.40	155.02	168.42	13.40
3.41	155.24	168.65	13.41
3.42	155.47	168.89	13.42
3.43	155.69	169.12	13.43
3.44	155.91	169.35	13.44
3.45	156.14	169.59	13.45
3.46	156.36	169.82	13.46
3.47	156.58	170.05	13.47
3.48	156.81	170.29	13.48
3.49	157.03	170.52	13.49
3.50	157.25	170.75	13.50
3.51	157.47	170.98	13.51
3.52	157.69	171.21	13.52
3.53	157.91	171.44	13.53
3.54	158.13	171.67	13.54
3.55	158.36	171.91	13.55
3.56	158.58	172.14	13.56
3.57	158.80	172.37	13.57
3.58	159.01	172.59	13.58
3.59	159.23	172.82	13.59
3.60	159.45	173.05	13.60
3.61	159.67	173.28	13.61
3.62	159.89	173.51	13.62
3.63	160.11	173.74	13.63
3.64	160.32	173.96	13.64
3.65	160.54	174.19	13.65
3.66	160.76	174.42	13.66
3.67	160.98	174.65	13.67
3.68	161.19	174.87	13.68
3.69	161.41	175.10	13.69
3.70	161.62	175.32	13.70
3.71	161.84	175.55	13.71
3.72	162.06	175.78	13.72
3.73	162.27	176.00	13.73
3.74	162.48	176.22	13.74
3.75	162.70	176.45	13.75
3.76	162.91	176.67	13.76
3.77	163.13	176.90	13.77
3.78	163.34	177.12	13.78
3.79	163.55	177.34	13.79
3.80	163.77	177.57	13.80
3.81	163.98	177.79	13.81
3.82	164.19	178.01	13.82
3.83	164.40	178.23	13.83
3.84	164.62	178.46	13.84
3.85	164.83	178.68	13.85
3.86	165.04	178.90	13.86
3.87	165.25	179.12	13.87
3.88	165.46	179.34	13.88
3.89	165.67	179.56	13.89
3.90	165.88	179.78	13.90
3.91	166.09	180.00	13.91
3.92	166.30	180.22	13.92
3.93	166.51	180.44	13.93
3.94	166.72	180.66	13.94
3.95	166.93	180.88	13.95
3.96	167.14	181.10	13.96
3.97	167.35	181.32	13.97
3.98	167.55	181.53	13.98
3.99	167.76	181.75	13.99
4.00	167.97	181.97	14.00
4.01	168.18	182.19	14.01
4.02	168.38	182.40	14.02
4.03	168.59	182.62	14.03
4.04	168.80	182.84	14.04
4.05	169.00	183.05	14.05
4.06	169.21	183.27	14.06
4.07	169.42	183.49	14.07
4.08	169.62	183.70	14.08
4.09	169.83	183.92	14.09
4.10	170.03	184.13	14.10
4.11	170.24	184.35	14.11
4.12	170.44	184.56	14.12
4.13	170.65	184.78	14.13
4.14	170.85	184.99	14.14
4.15	171.05	185.20	14.15
4.16	171.26	185.42	14.16
4.17	171.46	185.63	14.17
4.18	171.66	185.84	14.18
4.19	171.87	186.06	14.19
4.20	172.07	186.27	14.20
4.21	172.27	186.48	14.21
4.22	172.47	186.69	14.22
4.23	172.67	186.90	14.23
4.24	172.88	187.12	14.24
4.25	173.08	187.33	14.25
4.26	173.28	187.54	14.26
4.27	173.48	187.75	14.27
4.28	173.68	187.96	14.28
4.29	173.88	188.17	14.29
4.30	174.08	188.38	14.30
4.31	174.28	188.59	14.31
4.32	174.48	188.80	14.32
4.33	174.68	189.01	14.33
4.34	174.88	189.22	14.34
4.35	175.08	189.43	14.35
4.36	175.28	189.64	14.36
4.37	175.48	189.85	14.37
4.38	175.68	190.06	14.38
4.39	175.88	190.27	14.39
4.40	176.08	190.48	14.40
4.41	176.28	190.69	14.41
4.42	176.48	190.90	14.42
4.43	176.68	191.11	14.43
4.44	176.88	191.32	14.44
4.45	177.08	191.53	14.45
4.46	177.28	191.74	14.46
4.47	177.48	191.95	14.47
4.48	177.68	192.16	14.48
4.49	177.88	192.37	14.49
4.50	178.08	192.58	14.50
4.51	178.28	192.79	14.51
4.52	178.48	193.00	14.52
4.53	178.68	193.21	14.53
4.54	178.88	193.42	14.54
4.55	179.08	193.63	14.55
4.56	179.28	193.84	14.56
4.57	179.48	194.05	14.57
4.58	179.68	194.26	14.58
4.59	179.88	194.47	14.59
4.60	180.08	194.68	14.60
4.61	180.28	194.89	14.61
4.62	180.48	195.10	14.62
4.63	180.68	195.31	14.63
4.64	180.88	195.52	14.64
4.65	181.08	195.73	14.65
4.66	181.28	195.94	14.66
4.67	181.48	196.15	14.67
4.68	181.68	196.36	14.68
4.69	181.88	196.57	14.69
4.70	182.08	196.78	14.70
4.71	182.28	196.99	14.71
4.72	182.48	197.20	14.72
4.73	182.68	197.41	14.73
4.74	182.88	197.62	14.74
4.75	183.08	197.83	14.75
4.76	183.28	198.04	14.76
4.77	183.48	198.25	14.77
4.78	183.68	198.46	14.78
4.79	183.88	198.67	14.79
4.80	184.08	198.88	14.80
4.81	184.28	199.09	14.81
4.82	184.48	199.30	14.82
4.83	184.68	199.51	14.83
4.84	184.88	199.72	14.84
4.85	185.08	199.93	14.85
4.86	185.28	200.14	14.86
4.87	185.48	200.35	14.87
4.88	185.68	200.56	14.88
4.89	185.88	200.77	14.89
4.90	186.08	200.98	14.90
4.91	186.28	201.19	14.91
4.92	186.48	201.40	14.92
4.93	186.68	201.61	14.93
4.94	186.88	201.82	14.94
4.95	187.08	202.03	14.95
4.96	187.28	202.24	14.96
4.97	187.48	202.45	14.97
4.98	187.68	202.66	14.98
4.99	187.88	202.87	14.99
5.00	188.08	203.08	15.00
5.01	188.28	203.29	15.01
5.02	188.48	203.50	15.02
5.03	188.68	203.71	15.03
5.04	188.88	203.92	15.04
5.05	189.08	204.13	15.05
5.06	189.28	204.34	15.06
5.07	189.48	204.55	15.07
5.08	189.68	204.76	15.08
5.09	189.88	204.97	15.09
5.10	190.08	205.18	15.10
5.11	190.28	205.39	15.11
5.12	190.48	205.60	15.12
5.13	190.68	205.81	15.13
5.14	190.88	206.02	15.14
5.15	191.08	206.23	15.15
5.16	191.28	206.44	15.16
5.17	191.48	206.65	15.17
5.18	191.68	206.86	15.18
5.19	191.88	207.07	15.19
5.20	192.08	207.28	15.20
5.21	192.28	207.49	15.21
5.22	192.48	207.70	15.22
5.23	192.68	207.91	15.23
5.24	192.88	208.12	15.24
5.25	193.08	208.33	15.25
5.26	193.28	208.54	15.26
5.27	193.48	208.75	15.27
5.28	193.68	208.96	15.28
5.29	193.88	209.17	15.29
5.30	194.08	209.38	15.30
5.31	194.28	209.59	15.31
5.32	194.48	209.80	15.32
5.33	194.68	210.01	15.33
5.34	194.88	210.22	15.34
5.35	195.08	210.43	15.35
5.36	195.28	210.64	15.36
5.37	195.48	210.85	15.37
5.38	195.68	211.06	15.38
5.39	195.88	211.27	15.39
5.40	196.08	211.48	15.40
5.41	196.28	211.69	15.41
5.42	196.48	211.90	15.42
5.43	196.68	212.11	15.43
5.44	196.88	212.32	15.44
5.45	197.08	212.53	15.45
5.46	197.28	212.74	15.46
5.47	197.48	212.95	15.47
5.48	197.68	213.16	15.48
5.49	197.88	213.37	15.49
5.50	198.08	213.58	15.50
5.51	198.28	213.79	15.51
5.52	198.48	214.00	15.52
5.53	198.68	214.21	15.53
5.54	198.88	214.42	15.54
5.55	199.08	214.63	15.55
5.56	199.28	214.84	15.56
5.57	199.48	215.05	15.57
5.58	199.68	215.26	15.58
5.59	199.88	215.47	15.59
5.60	200.08	215.68	15.60
5.61	200.28	215.89	15.61
5.62	200.48	216.10	15.62
5.63	200.68	216.31	15.63
5.64	200.88	216.52	15.64
5.65	201.08	216.73	15.65
5.66	201.28	216.94	15.66
5.67	201.48	217.15	15.67
5.68	201.68	217.36	15.68
5.69	201.88	217.57	15.69
5.70	202.08	217.78	15.70
5.71	202.28	217.99	15.71
5.72	202.48	218.20	15.72
5.73	202.68	218.41	15.73
5.74	202.88	218.62	15.74
5.75	203.08	218.83	15.75
5.76	203.28	219.04	15.76
5.77	203.48	219.25	15.77
5.78	203.68	219.46	15.78
5.79	203.88	219.67	15.79
5.80	204.08	219.88	15.80
5.81	204.28	220.09	15.81
5.82	204.48	220.30	15.82
5.83	204.68	220.51	15.83
5.84	204.88	220.72	15.84
5.85	205.08	220.93	15.85
5.86	205.28	221.14	15.86
5.87	205.48	221.35	15.87
5.88	205.68	221.56	15.88
5.89	205.88	221.77	15.89
5.90	206.08	221.98	15.90
5.91	206.28	222.19	15.91
5.92	206.48	222.40	15.92
5.93	206.68	222.61	15.93
5.94	206.88	222.82	15.94
5.95	207.08	223.03	15.95
5.96	207.28	223.24	15.96
5.97	207.48	223.45	15.97
5.98	207.68	223.66	15.98
5.99	207.88	223.87	15.99
6.00	208.08	224.08	16.00
6.01	208.28	224.29	16.01
6.02	208.48	224.50	16.02
6.03	208.68	224.71	16.03
6.04	208.88	224.92	16.04
6.05	209.08	225.13	16.05
6.06	209.28	225.34	16.06
6.07	209.48	225.55	16.07
6.08	209.68	225.76	16.08
6.09	209.88	225.97	16.09
6.10	210.08	226.18	16.10
6.11	210.28	226.39	16.11
6.12	210.48	226.60	16.12
6.13	210.68	226.81	16.13
6.14	210.88	227.02	16.14
6.15	211.08	227.23	16.15
6.16	211.28	227.44	16.16
6.17	211.48	227.65	16.17
6.18	211.68	227.86	16.18
6.19	211.88	228.07	16.19
6.20	212.08	228.28	16.20
6.21	212.28	228.49	16.21
6.22	212.48	228.70	16.22
6.23	212.68	228.91	16.23
6.24	212.88	229.12	16.24
6.25	213.08	229.33	16.25
6.26	213.28	229.54	16.26
6.27	213.48	229.75	16.27
6.28	213.68	229.96	16.28
6.29	213.88	230.17	16.29
6.30	214.08	230.38	16.30
6.31	214.28	230.59	16.31
6.32	214.48	230.80	16.32
6.33	214.68	231.01	16.33
6.34	214.88	231.22	16.34
6.35	215.08	231.43	16.35
6.36	215.28	231.64	16.36
6.37	215.48	231.85	16.37
6.38	215.68	232.06	16.38
6.39	215.88	232.27	16.39
6.40	216.08	232.48	16.40
6.41	216.28	232.69	16.41
6.42	216.48	232.90	16.42
6.43	216.68	233.11	16.43
6.44	216.88	233.32	16.44
6.45	217.08	233.53	16.45
6.46	217.28	233.74	16.46
6.47	217.48	233.95	16.47
6.48	217.68	234.16	16.48
6.49	217.88	234.37	16.49
6.50	218.08	234.58	16.50
6.51	218.28	234.79	16.51
6.52	218.48	235.00	16.52
6.53	218.68	235.21	16.53
6.54	218.88	235.42	16.54
6.55	219.08	235.63	16.55
6.56	219.28	235.84	16.56
6.57	219.48	236.05	16.57
6.58	219.68	236.26	16.58
6.59	219.88	236.47	16.59
6.60	220.08	236.68	16.60
6.61	220.28	236.89	16.61
6.62	220.48	237.10	16.62
6.63	220.68	237.31	16.63
6.64	220.88	237.52	16.64
6.65	221.08	237.73	16.65
6.66	221.28	237.94	16.66
6.67	221.48	238.15	16.67
6.68	221.68	238.36	16.68
6.69	221.88	238.57	16.69
6.70	222.08	238.78	16.70
6.71	222.28	238.99	16.71
6.72	222.48	239.20	16.72
6.73	222.68	239.41	16.73
6.74	222.88	239.62	16.74
6.75	223.08	239.83	16.75
6.76	223.28	240.04	16.76
6.77	223.48	240.25	16.77
6.78	223.68	240.46	16.78
6.79	223.88	240.67	16.79
6.80	224.08	240.88	16.80
6.81	224.28	241.09	16.81
6.82	224.48	241.30	16.82
6.83	224.68	241.51	16.83
6.84	224.88	241.72	16.84
6.85	225.08	241.93	16.85
6.86	225.28	242.14	16.86
6.87	225.48	242.35	16.87
6.88	225.68	242.56	16.88
6.89	225.88	242.77	16.89
6.90	226.08	242.98	16.90
6.91	226.28	243.19	16.91
6.92	226.48	243.40	16.92
6.93	226.68	243.61	16.93
6.94	226.88	243.82	16.94
6.95	227.08	244.03	16.95
6.96	227.28	244.24	16.96
6.97	227.48	244.45	16.97
6.98	227.68	244.66	16.98
6.99	227.88	244.87	16.99
7.00	228.08	245.08	17.00
7.01	228.28	245.29	17.01
7.02	228.48	245.50	17.02
7.03	228.68	245.71	17.03
7.04	228.88	245.92	17.04
7.05	229.08	246.13	17.05
7.06	229.28	246.34	17.06
7.07	229.48	246.55	17.07
7.08	229.68	246.76	17.08
7.09	229.88	246.97	17.09
7.10	230.08	247.18	17.10
7.11	230.28	247.39	17.11
7.12	230.48	247.60	17.12
7.13	230.68	247.81	17.13
7.14	230.88	248.02	17.14
7.15	231.08	248.23	17.15
7.16	231.28	248.44	17.16
7.17	231.48	248.65	17.17
7.18	231.68	248.86	17.18
7.19	231.88	249.07	17.19
7.20	232.08	249.28	17.20
7.21	232.28	249.49	17.21
7.22	232.48	249.70	17.22
7.23	232.68	249.91	17.23
7.24	232.88	250.12	17.24
7.25	233.08	250.33	17.25
7.26	233.28	250.54	17.26
7.27	233.48	250.75	17.27
7.28	233.68	250.96	17.28
7.29	233.88	251.17	17.29
7.30	234.08	251.38	17.30
7.31	234.28	251.59	17.31
7.32	234.48	251.80	17.32
7.33	234.68	252.01	17.33
7.34	234.88	252.22	17.34
7.35	235.08	252.43	17.35
7.36	235.28	252.64	17.36
7.37	235.48	252.85	17.37
7.38	235.68	253.06	17.38
7.39	235.88	253.27	17.39
7.40	236.08	253.48	17.40
7.41	236.28	253.69	17.41
7.42	236.48	253.90	17.42
7.43	236.68	254.11	17.43
7.44	236.88	254.32	17.44
7.45	237.08	254.53	17.45
7.46	237.28	254.74	17.46
7.47	237.48	254.95	17.47
7.48	237.68	255.16	17.48
7.49	237.88	255.37	17.49
7.50	238.08	255.58	17.50
7.51	238.28	255.79	17.51
7.52	238.48	256.00	17.52
7.53	238.68	256.21	17.53
7.54	238.88	256.42	17.54
7.55	239.08	256.63	17.55
7.56	239.28	256.84	17.56
7.57	239.48	257.05	17.57
7.58	239.68	257.26	17.58
7.59	239.88	257.47	17.59
7.60	240.08	257.68	17.60
7.61	240.28	257.89	17.61
7.62	240.48	258.10	17.62
7.63	240.68	258.31	17.63
7.64	240.88	258.52	17.64
7.65	241.08	258.73	17.65
7.66	241.28	258.94	17.66
7.67	241.48	259.15	17.67
7.68	241.68	259.36	17.68
7.69	241.88	259.57	17.69
7.70	242.08	259.78	17.70
7.71	242.28	259.99	17.71
7.72	242.48	260.20	17.72
7.73	242.68	260.41	17.73
7.74	242.88	260.62	17.74
7.75	243.08	260.83	17.75
7.76	243.28	261.04	17.76
7.77	243.48	261.25	17.77
7.78	243.68	261.46	17.78
7.79	243.88	261.67	17.79
7.80	244.08	261.88	17.80
7.81	244.28	262.09	17.81
7.82	244.48	262.30	17.82
7.83	244.68	262.51	17.83
7.84	244.88	262.72	17.84
7.85	245.08	262.93	17.85
7.86	245.28	263.14	17.86
7.87	245.48	263.35	17.87
7.88	245.68	263.56	17.88
7.89	245.88	263.77	17.89
7.90	246.08	263.98	17.90
7.91	246.28	264.19	17.91
7.92	246.48	264.40	17.92
7.93	246.68	264.61	17.93
7.94	246.88	264.82	17.94
7.95	247.08	265.03	17.95
7.96	247.28	265.24	17.96
7.97	247.48	265.45	17.97
7.98	247.68	265.66	17.98
7.99	247.88	265.87	17.99
8.00	248.08	266.08	18.00
8.01	248.28	266.29	18.01
8.02	248.48	266.50	18.02
8.03	248.68	266.71	18.03
8.04	248.88	266.92	18.04
8.05	249.08	267.13	18.05
8.06	249.28	267.34	18.06
8.07	249.48	267.55	18.07
8.08	249.68	267.76	18.08
8.09	249.88	267.97	18.09
8.10	250.08	268.18	18.10
8.11	250.28	268.39	18.11
8.12	250.48	268.60	18.12
8.13	250.68	268.81	18.13
8.14	250.88	269.02	18.14
8.15	251.08	269.23	18.15
8.16	251.28	269.44	18.16
8.17	251.48	269.65	18.17
8.18	251.68	269.86	18.18
8.19	251.88	270.07	18.19
8.20	252.08	270.28	18.20
8.21	252.28	270.49	18.21
8.22	252.48	270.70	18.22
8.23	252.68	270.91	18.23
8.24	252.88	271.12	18.24
8.25	253.08	271.33	18.25
8.26	253.28	271.54	18.26
8.27	253.48	271.75	18.27
8.28	253.68	271.96	18.28
8.29	253.88	272.17	18.29
8.30	254.08	272.38	18.30
8.31	254.28	272.59	18.31
8.32	254.48	272.80	18.32
8.33	254.68	273.01	18.33
8.34	254.88	273.22	18.34
8.35	255.08	273.43	18.35
8.36	255.28	273.64	18.36
8.37	255.48	273.85	18.37
8.38	255.68	274.06	18.38
8.39	255.88	274.27	18.39
8.40	256.08	274.48	18.40
8.41	256.28	274.69	18.41
8.42	256.48	274.90	18.42
8.43	256.68	275.11	18.43
8.44	256.88	275.32	18.44
8.45	257.08	275.53	18.45
8.46	257.28	275.74	18.46
8.47	257.48	275.95	18.47
8.48	257.68	276.16	18.48
8.49	257.88	276.37	18.49
8.50	258.08	276.58	18.50
8.51	258.28	276.79	18.51
8.52	258.48	277.00	18.52
8.53	258.68	277.21	18.53
8.54	258.88	277.42	18.54
8.55	259.08	277.63	18.55
8.56	259.28	277.84	18.56
8.57	259.48	278.05	18.57
8.58	259.68	278.26	18.58
8.59	259.88	278.47	18.59
8.60	260.08	278.68	18.60
8.61	260.28	278.89	18.61
8.62	260.48	279.10	18.62
8.63	260.68	279.31	18.63
8.64	260.88	279.52	18.64
